orig	new
CTN002_Day6_B1-018_AB01_07.zvi.tif	CTN002_Day6_07.tif
CTN002_Day6_B1-018_AB01_08.zvi.tif	CTN002_Day6_08.tif
CTN002_Day6_B1-018_AB01_09.zvi.tif	CTN002_Day6_09.tif
CTN002_Day6_B1-018_AB01_10.zvi.tif	CTN002_Day6_10.tif
CTN002_Day6_B1-018_AB01_11.zvi.tif	CTN002_Day6_11.tif
CTN002_Day6_B1-018_AB01_12.zvi.tif	CTN002_Day6_12.tif
CTN002_Day6_B3-017_AB03_01.zvi.tif	CTN002_Day6_13.tif
CTN002_Day6_B3-017_AB03_02.zvi.tif	CTN002_Day6_14.tif
CTN002_Day6_B3-017_AB03_03.zvi.tif	CTN002_Day6_15.tif
CTN002_Day6_B3-017_AB03_04.zvi.tif	CTN002_Day6_16.tif
CTN002_Day6_B3-017_AB03_05.zvi.tif	CTN002_Day6_17.tif
CTN002_Day6_B3-017_AB03_06.zvi.tif	CTN002_Day6_18.tif
CTN002_Day6_B3-017_AB03_07.zvi.tif	CTN002_Day6_19.tif
CTN002_Day6_B3-017_AB03_08.zvi.tif	CTN002_Day6_20.tif
CTN002_Day6_B3-017_AB03_09.zvi.tif	CTN002_Day6_21.tif
CTN002_Day6_B3-017_AB03_10.zvi.tif	CTN002_Day6_22.tif
CTN002_Day6_B3-017_AB03_11.zvi.tif	CTN002_Day6_23.tif
CTN002_Day6_B3-017_AB03_12.zvi.tif	CTN002_Day6_24.tif
CTN002_Day6_B3-017_AB03_13.zvi.tif	CTN002_Day6_25.tif
CTN002_Day6_B3-017_AB03_14.zvi.tif	CTN002_Day6_26.tif
CTN004_Day6-013_Position(173).zvi.tif	CTN004_Day6_01.tif
CTN004_Day6-013_Position(174).zvi.tif	CTN004_Day6_02.tif
CTN004_Day6-013_Position(175).zvi.tif	CTN004_Day6_03.tif
CTN004_Day6-013_Position(176).zvi.tif	CTN004_Day6_04.tif
CTN004_Day6-013_Position(177).zvi.tif	CTN004_Day6_05.tif
CTN004_Day6-013_Position(178).zvi.tif	CTN004_Day6_06.tif
CTN004_Day6-013_Position(179).zvi.tif	CTN004_Day6_07.tif
CTN007_Day6-002_AB03_01.zvi.tif	CTN007_Day6_01.tif
CTN007_Day6-002_AB03_02.zvi.tif	CTN007_Day6_02.tif
CTN007_Day6-002_AB03_03.zvi.tif	CTN007_Day6_03.tif
CTN007_Day6-002_AB03_04.zvi.tif	CTN007_Day6_04.tif
CTN007_Day6-002_AB03_05.zvi.tif	CTN007_Day6_05.tif
CTN007_Day6-002_AB03_06.zvi.tif	CTN007_Day6_06.tif
CTN007_Day6-002_AB03_07.zvi.tif	CTN007_Day6_07.tif
CTN007_Day6-002_AB03_08.zvi.tif	CTN007_Day6_08.tif
CTN009_Day6-002_Position(46).zvi.tif	CTN009_Day6_01.tif
CTN009_Day6-002_Position(47).zvi.tif	CTN009_Day6_02.tif
CTN009_Day6-002_Position(48).zvi.tif	CTN009_Day6_03.tif
CTN009_Day6-002_Position(49).zvi.tif	CTN009_Day6_04.tif
CTN009_Day6-002_Position(50).zvi.tif	CTN009_Day6_05.tif
CTN009_Day6-002_Position(51).zvi.tif	CTN009_Day6_06.tif
CTN009_Day6-002_Position(52).zvi.tif	CTN009_Day6_07.tif
CTN009_Day6-002_Position(53).zvi.tif	CTN009_Day6_08.tif
CTN009_Day6-002_Position(54).zvi.tif	CTN009_Day6_09.tif
CTN009_Day6-002_Position(55).zvi.tif	CTN009_Day6_10.tif
CTN009_Day6-002_Position(56).zvi.tif	CTN009_Day6_11.tif
CTN009_Day6-002_Position(57).zvi.tif	CTN009_Day6_12.tif
CTN009_Day6-002_Position(58).zvi.tif	CTN009_Day6_13.tif
CTN009_Day6-002_Position(59).zvi.tif	CTN009_Day6_14.tif
CTN009_Day6-002_Position(60).zvi.tif	CTN009_Day6_15.tif
CTN009_Day6-002_Position(61).zvi.tif	CTN009_Day6_16.tif
CTN009_Day6-002_Position(62).zvi.tif	CTN009_Day6_17.tif
CTN009_Day6-002_Position(63).zvi.tif	CTN009_Day6_18.tif
CTN009_Day6-002_Position(64).zvi.tif	CTN009_Day6_19.tif
CTN009_Day6-002_Position(65).zvi.tif	CTN009_Day6_20.tif
CTN009_Day6-002_Position(66).zvi.tif	CTN009_Day6_21.tif
CTN010_Day6-003_AC04_01.zvi.tif	CTN010_Day6_01.tif
CTN010_Day6-003_AC04_02.zvi.tif	CTN010_Day6_02.tif
CTN010_Day6-003_AC04_03.zvi.tif	CTN010_Day6_03.tif
CTN010_Day6-003_AC04_04.zvi.tif	CTN010_Day6_04.tif
CTN010_Day6-003_AC04_05.zvi.tif	CTN010_Day6_05.tif
CTN010_Day6-003_AC04_06.zvi.tif	CTN010_Day6_06.tif
CTN010_Day6-003_AC04_07.zvi.tif	CTN010_Day6_07.tif
CTN010_Day6-003_AC04_08.zvi.tif	CTN010_Day6_08.tif
CTN010_Day6-003_AC04_09.zvi.tif	CTN010_Day6_09.tif
CTN010_Day6-003_AC04_10.zvi.tif	CTN010_Day6_10.tif
CTN010_Day6-003_AC04_11.zvi.tif	CTN010_Day6_11.tif
CTN010_Day6-003_AC04_12.zvi.tif	CTN010_Day6_12.tif
CTN010_Day6-003_AC04_13.zvi.tif	CTN010_Day6_13.tif
CTN010_Day6-003_AC04_14.zvi.tif	CTN010_Day6_14.tif
CTN010_Day6-003_AC04_15.zvi.tif	CTN010_Day6_15.tif
CTN010_Day6-003_AC04_16.zvi.tif	CTN010_Day6_16.tif
CTN010_Day6-003_AC04_17.zvi.tif	CTN010_Day6_17.tif
CTN010_Day6-003_AC04_18.zvi.tif	CTN010_Day6_18.tif
CTN010_Day6-003_AC04_19.zvi.tif	CTN010_Day6_19.tif
CTN010_Day6-003_AC04_20.zvi.tif	CTN010_Day6_20.tif
CTN010_Day6-003_AC04_21.zvi.tif	CTN010_Day6_21.tif
CTN010_Day6-003_AC04_22.zvi.tif	CTN010_Day6_22.tif
CTN010_Day6-003_AC04_23.zvi.tif	CTN010_Day6_23.tif
CTN010_Day6-003_AC04_24.zvi.tif	CTN010_Day6_24.tif
CTN010_Day6-003_AC04_25.zvi.tif	CTN010_Day6_25.tif
CTN010_Day6-003_AC04_26.zvi.tif	CTN010_Day6_26.tif
CTN010_Day6-003_AC04_27.zvi.tif	CTN010_Day6_27.tif
CTN010_Day6-003_AC04_29.zvi.tif	CTN010_Day6_29.tif
CTN010_Day6-003_AC04_31.zvi.tif	CTN010_Day6_31.tif
CTN010_Day6-003_AC04_32.zvi.tif	CTN010_Day6_32.tif
CTN010_Day6-003_AC04_33.zvi.tif	CTN010_Day6_33.tif
CTN010_Day6-003_AC04_34.zvi.tif	CTN010_Day6_34.tif
CTN010_Day6-003_AC04_35.zvi.tif	CTN010_Day6_35.tif
CTN010_Day6-003_AC04_36.zvi.tif	CTN010_Day6_36.tif
CTN010_Day6-003_AC04_37.zvi.tif	CTN010_Day6_37.tif
CTN010_Day6-003_AC04_38.zvi.tif	CTN010_Day6_38.tif
CTN010_Day6-003_AC04_39.zvi.tif	CTN010_Day6_39.tif
CTN010_Day6-003_AC04_40.zvi.tif	CTN010_Day6_40.tif
CTN010_Day6-003_AC04_41.zvi.tif	CTN010_Day6_41.tif
CTN010_Day6-003_AC04_42.zvi.tif	CTN010_Day6_42.tif
CTN010_Day6-003_AC04_43.zvi.tif	CTN010_Day6_43.tif
CTN010_Day6-003_AC04_44.zvi.tif	CTN010_Day6_44.tif
CTN010_Day6-003_AC04_45.zvi.tif	CTN010_Day6_45.tif
CTN010_Day6-003_AC04_46.zvi.tif	CTN010_Day6_46.tif
CTN011_Day6-001_AB02_01.zvi.tif	CTN011_Day6_01.tif
CTN011_Day6-001_AB02_02.zvi.tif	CTN011_Day6_02.tif
CTN011_Day6-001_AB02_03.zvi.tif	CTN011_Day6_03.tif
CTN011_Day6-001_AB02_04.zvi.tif	CTN011_Day6_04.tif
CTN011_Day6-001_AB02_05.zvi.tif	CTN011_Day6_05.tif
CTN011_Day6-001_AB02_06.zvi.tif	CTN011_Day6_06.tif
CTN011_Day6-001_AB02_07.zvi.tif	CTN011_Day6_07.tif
CTN011_Day6-001_AB02_08.zvi.tif	CTN011_Day6_08.tif
CTN011_Day6-001_AB02_09.zvi.tif	CTN011_Day6_09.tif
CTN011_Day6-001_AB02_10.zvi.tif	CTN011_Day6_10.tif
CTN011_Day6-001_AB02_11.zvi.tif	CTN011_Day6_11.tif
CTN011_Day6-001_AB02_12.zvi.tif	CTN011_Day6_12.tif
CTN011_Day6-001_AB02_13.zvi.tif	CTN011_Day6_13.tif
CTN011_Day6-001_AB02_14.zvi.tif	CTN011_Day6_14.tif
CTN011_Day6-001_AB02_15.zvi.tif	CTN011_Day6_15.tif
CTN011_Day6-001_AB02_16.zvi.tif	CTN011_Day6_16.tif
CTN011_Day6-001_AB02_17.zvi.tif	CTN011_Day6_17.tif
CTN011_Day6-001_AB02_18.zvi.tif	CTN011_Day6_18.tif
CTN011_Day6-001_AB02_19.zvi.tif	CTN011_Day6_19.tif
CTN011_Day6-001_AB02_20.zvi.tif	CTN011_Day6_20.tif
CTN011_Day6-001_AB02_21.zvi.tif	CTN011_Day6_21.tif
CTN011_Day6-001_AB02_22.zvi.tif	CTN011_Day6_22.tif
CTN011_Day6-001_AB02_23.zvi.tif	CTN011_Day6_23.tif
CTN011_Day6-001_AB02_24.zvi.tif	CTN011_Day6_24.tif
CTN011_Day6-001_AB02_25.zvi.tif	CTN011_Day6_25.tif
CTN011_Day6-001_AB02_26.zvi.tif	CTN011_Day6_26.tif
CTN011_Day6-001_AB02_27.zvi.tif	CTN011_Day6_27.tif
CTN011_Day6-001_AB02_28.zvi.tif	CTN011_Day6_28.tif
CTN011_Day6-001_AB02_29.zvi.tif	CTN011_Day6_29.tif
CTN011_Day6-001_AB02_30.zvi.tif	CTN011_Day6_30.tif
CTN011_Day6-001_AB02_31.zvi.tif	CTN011_Day6_51.tif
CTN011_Day6-001_AB02_32.zvi.tif	CTN011_Day6_52.tif
CTN011_Day6-001_AB02_33.zvi.tif	CTN011_Day6_53.tif
CTN011_Day6-001_AB02_34.zvi.tif	CTN011_Day6_54.tif
CTN011_Day6-001_AB02_35.zvi.tif	CTN011_Day6_55.tif
CTN011_Day6-001_AB02_36.zvi.tif	CTN011_Day6_56.tif
CTN011_Day6-001_AB02_37.zvi.tif	CTN011_Day6_57.tif
CTN011_Day6-001_AB02_38.zvi.tif	CTN011_Day6_58.tif
CTN011_Day6-001_AB02_39.zvi.tif	CTN011_Day6_59.tif
CTN011_Day6-001_AB02_40.zvi.tif	CTN011_Day6_60.tif
CTN011_Day6-001_AB02_41.zvi.tif	CTN011_Day6_61.tif
CTN011_Day6-001_AB02_42.zvi.tif	CTN011_Day6_62.tif
CTN011_Day6-001_AB02_43.zvi.tif	CTN011_Day6_63.tif
CTN011_Day6-001_AB02_44.zvi.tif	CTN011_Day6_64.tif
CTN011_Day6-001_AB02_45.zvi.tif	CTN011_Day6_65.tif
CTN011_Day6-001_AB02_46.zvi.tif	CTN011_Day6_66.tif
CTN011_Day6-001_AB02_47.zvi.tif	CTN011_Day6_67.tif
CTN011_Day6-001_AB02_48.zvi.tif	CTN011_Day6_68.tif
CTN014_Day6-009_AB02_01.zvi.tif	CTN014_Day6_01.tif
CTN014_Day6-009_AB02_02.zvi.tif	CTN014_Day6_02.tif
CTN014_Day6-009_AB02_03.zvi.tif	CTN014_Day6_03.tif
CTN014_Day6-009_AB02_04.zvi.tif	CTN014_Day6_04.tif
CTN014_Day6-009_AB02_05.zvi.tif	CTN014_Day6_05.tif
CTN014_Day6-009_AB02_06.zvi.tif	CTN014_Day6_06.tif
CTN014_Day6-009_AB02_07.zvi.tif	CTN014_Day6_07.tif
CTN016_Day6-010_AB02_01.zvi.tif	CTN016_Day6_01.tif
CTN016_Day6-010_AB02_02.zvi.tif	CTN016_Day6_02.tif
CTN016_Day6-010_AB03_01.zvi.tif	CTN016_Day6_03.tif
CTN018_Day6-012_Position(165).zvi.tif	CTN018_Day6_01.tif
CTN018_Day6-012_Position(166).zvi.tif	CTN018_Day6_02.tif
CTN018_Day6-012_Position(167).zvi.tif	CTN018_Day6_03.tif
CTN018_Day6-012_Position(168).zvi.tif	CTN018_Day6_04.tif
CTN018_Day6-012_Position(169).zvi.tif	CTN018_Day6_05.tif
CTN018_Day6-012_Position(170).zvi.tif	CTN018_Day6_06.tif
CTN018_Day6-012_Position(171).zvi.tif	CTN018_Day6_07.tif
CTN018_Day6-012_Position(172).zvi.tif	CTN018_Day6_08.tif
CTN019d6 K14-05_AB02_01.zvi.tif	CTN019_Day6_01.tif
CTN019d6 K14-05_AB02_02.zvi.tif	CTN019_Day6_02.tif
CTN019d6 K14-05_AB02_03.zvi.tif	CTN019_Day6_03.tif
CTN019d6 K14-05_AB02_04.zvi.tif	CTN019_Day6_04.tif
CTN019d6 K14-05_AB02_05.zvi.tif	CTN019_Day6_05.tif
CTN019d6 K14-05_AB02_06.zvi.tif	CTN019_Day6_06.tif
CTN019d6 K14-05_AB02_07.zvi.tif	CTN019_Day6_07.tif
CTN019d6 K14-05_AB02_08.zvi.tif	CTN019_Day6_08.tif
CTN019d6 K14-05_AB02_09.zvi.tif	CTN019_Day6_09.tif
CTN019d6 K14-05_AB02_10.zvi.tif	CTN019_Day6_10.tif
CTN019d6 K14-05_AB02_11.zvi.tif	CTN019_Day6_11.tif
CTN019d6 K14-05_AB02_12.zvi.tif	CTN019_Day6_12.tif
CTN019d6 K14-05_AB02_13.zvi.tif	CTN019_Day6_13.tif
CTN019d6 K14-05_AB02_14.zvi.tif	CTN019_Day6_14.tif
CTN019d6 K14-05_AB02_15.zvi.tif	CTN019_Day6_15.tif
CTN019d6 K14-05_AB02_16.zvi.tif	CTN019_Day6_16.tif
CTN019d6 K14-05_AB02_17.zvi.tif	CTN019_Day6_17.tif
CTN019d6 K14-05_AB02_18.zvi.tif	CTN019_Day6_18.tif
CTN019d6 K14-05_AB02_19.zvi.tif	CTN019_Day6_19.tif
CTN019d6 K14-05_AB02_20.zvi.tif	CTN019_Day6_20.tif
CTN019d6 K14-05_AB02_22.zvi.tif	CTN019_Day6_22.tif
CTN019d6 K14-05_AB02_23.zvi.tif	CTN019_Day6_23.tif
CTN019d6 K14-05_AB02_24.zvi.tif	CTN019_Day6_24.tif
CTN019d6 K14-05_AB02_25.zvi.tif	CTN019_Day6_25.tif
CTN019d6 K14-05_AB02_26.zvi.tif	CTN019_Day6_26.tif
CTN019d6 K14-05_AB02_28.zvi.tif	CTN019_Day6_27.tif
CTN019d6 K14-05_AB02_29.zvi.tif	CTN019_Day6_28.tif
CTN019d6 K14-05_AB02_30.zvi.tif	CTN019_Day6_29.tif
CTN019d6 K14-05_AB02_31.zvi.tif	CTN019_Day6_30.tif
CTN019d6 K14-05_AB02_32.zvi.tif	CTN019_Day6_31.tif
CTN019d6 K14-05_AB02_34.zvi.tif	CTN019_Day6_33.tif
CTN019d6 K14-05_AB02_35.zvi.tif	CTN019_Day6_34.tif
CTN019d6 K14-05_AB02_36.zvi.tif	CTN019_Day6_35.tif
CTN019d6 K14-05_AB02_37.zvi.tif	CTN019_Day6_36.tif
CTN019d6 K14-05_AB02_38.zvi.tif	CTN019_Day6_37.tif
CTN019d6 K14-05_AB02_39.zvi.tif	CTN019_Day6_38.tif
CTN019d6 K14-05_AB02_41.zvi.tif	CTN019_Day6_39.tif
CTN019d6 K14-05_AB02_42.zvi.tif	CTN019_Day6_40.tif
CTN019d6 K14-05_AB02_44.zvi.tif	CTN019_Day6_41.tif
CTN019d6 K14-05_AB02_45.zvi.tif	CTN019_Day6_42.tif
CTN019d6 K14-05_AB02_46.zvi.tif	CTN019_Day6_43.tif
CTN021d6 K14-07_Position(1).zvi.tif	CTN021_Day6_01.tif
CTN021d6 K14-07_Position(10).zvi.tif	CTN021_Day6_10.tif
CTN021d6 K14-07_Position(11).zvi.tif	CTN021_Day6_11.tif
CTN021d6 K14-07_Position(12).zvi.tif	CTN021_Day6_12.tif
CTN021d6 K14-07_Position(13).zvi.tif	CTN021_Day6_13.tif
CTN021d6 K14-07_Position(14).zvi.tif	CTN021_Day6_14.tif
CTN021d6 K14-07_Position(15).zvi.tif	CTN021_Day6_15.tif
CTN021d6 K14-07_Position(16).zvi.tif	CTN021_Day6_16.tif
CTN021d6 K14-07_Position(17).zvi.tif	CTN021_Day6_17.tif
CTN021d6 K14-07_Position(18).zvi.tif	CTN021_Day6_18.tif
CTN021d6 K14-07_Position(19).zvi.tif	CTN021_Day6_19.tif
CTN021d6 K14-07_Position(2).zvi.tif	CTN021_Day6_02.tif
CTN021d6 K14-07_Position(20).zvi.tif	CTN021_Day6_20.tif
CTN021d6 K14-07_Position(21).zvi.tif	CTN021_Day6_21.tif
CTN021d6 K14-07_Position(22).zvi.tif	CTN021_Day6_22.tif
CTN021d6 K14-07_Position(23).zvi.tif	CTN021_Day6_23.tif
CTN021d6 K14-07_Position(24).zvi.tif	CTN021_Day6_24.tif
CTN021d6 K14-07_Position(25).zvi.tif	CTN021_Day6_25.tif
CTN021d6 K14-07_Position(26).zvi.tif	CTN021_Day6_26.tif
CTN021d6 K14-07_Position(27).zvi.tif	CTN021_Day6_27.tif
CTN021d6 K14-07_Position(28).zvi.tif	CTN021_Day6_28.tif
CTN021d6 K14-07_Position(29).zvi.tif	CTN021_Day6_29.tif
CTN021d6 K14-07_Position(3).zvi.tif	CTN021_Day6_03.tif
CTN021d6 K14-07_Position(30).zvi.tif	CTN021_Day6_30.tif
CTN021d6 K14-07_Position(31).zvi.tif	CTN021_Day6_31.tif
CTN021d6 K14-07_Position(32).zvi.tif	CTN021_Day6_32.tif
CTN021d6 K14-07_Position(33).zvi.tif	CTN021_Day6_33.tif
CTN021d6 K14-07_Position(34).zvi.tif	CTN021_Day6_34.tif
CTN021d6 K14-07_Position(35).zvi.tif	CTN021_Day6_35.tif
CTN021d6 K14-07_Position(36).zvi.tif	CTN021_Day6_36.tif
CTN021d6 K14-07_Position(37).zvi.tif	CTN021_Day6_37.tif
CTN021d6 K14-07_Position(38).zvi.tif	CTN021_Day6_38.tif
CTN021d6 K14-07_Position(39).zvi.tif	CTN021_Day6_39.tif
CTN021d6 K14-07_Position(4).zvi.tif	CTN021_Day6_04.tif
CTN021d6 K14-07_Position(40).zvi.tif	CTN021_Day6_40.tif
CTN021d6 K14-07_Position(41).zvi.tif	CTN021_Day6_41.tif
CTN021d6 K14-07_Position(43).zvi.tif	CTN021_Day6_42.tif
CTN021d6 K14-07_Position(44).zvi.tif	CTN021_Day6_43.tif
CTN021d6 K14-07_Position(45).zvi.tif	CTN021_Day6_44.tif
CTN021d6 K14-07_Position(46).zvi.tif	CTN021_Day6_45.tif
CTN021d6 K14-07_Position(48).zvi.tif	CTN021_Day6_46.tif
CTN021d6 K14-07_Position(49).zvi.tif	CTN021_Day6_47.tif
CTN021d6 K14-07_Position(5).zvi.tif	CTN021_Day6_05.tif
CTN021d6 K14-07_Position(50).zvi.tif	CTN021_Day6_48.tif
CTN021d6 K14-07_Position(51).zvi.tif	CTN021_Day6_49.tif
CTN021d6 K14-07_Position(52).zvi.tif	CTN021_Day6_50.tif
CTN021d6 K14-07_Position(6).zvi.tif	CTN021_Day6_06.tif
CTN021d6 K14-07_Position(7).zvi.tif	CTN021_Day6_07.tif
CTN021d6 K14-07_Position(8).zvi.tif	CTN021_Day6_08.tif
CTN021d6 K14-07_Position(9).zvi.tif	CTN021_Day6_09.tif
CTN024-01_AC01_01.zvi.tif	CTN024_Day6_01.tif
CTN024-01_AC01_02.zvi.tif	CTN024_Day6_02.tif
CTN024-01_AC01_03.zvi.tif	CTN024_Day6_03.tif
CTN024-01_AC01_04.zvi.tif	CTN024_Day6_04.tif
CTN024-01_AC01_06.zvi.tif	CTN024_Day6_05.tif
CTN024-01_AC01_07.zvi.tif	CTN024_Day6_06.tif
CTN024-01_AC01_09.zvi.tif	CTN024_Day6_08.tif
CTN024-01_AC01_10.zvi.tif	CTN024_Day6_09.tif
CTN024-01_AC01_11.zvi.tif	CTN024_Day6_10.tif
CTN024-01_AC01_13.zvi.tif	CTN024_Day6_11.tif
CTN024-01_AC01_131.zvi.tif	CTN024_Day6_16.tif
CTN024-01_AC01_14.zvi.tif	CTN024_Day6_12.tif
CTN024-01_AC01_141.zvi.tif	CTN024_Day6_17.tif
CTN024-01_AC01_15.zvi.tif	CTN024_Day6_13.tif
CTN024-01_AC01_16.zvi.tif	CTN024_Day6_14.tif
CTN024-01_AC01_17.zvi.tif	CTN024_Day6_15.tif
CTN05_Day6-008_AB02_01.zvi.tif	CTN005_Day6_01.tif
CTN05_Day6-008_AB02_02.zvi.tif	CTN005_Day6_02.tif
CTN05_Day6-008_AB02_03.zvi.tif	CTN005_Day6_03.tif
CTN05_Day6-008_AB02_04.zvi.tif	CTN005_Day6_04.tif
CTN05_Day6-008_AB02_05.zvi.tif	CTN005_Day6_05.tif
CTN05_Day6-008_AB02_06.zvi.tif	CTN005_Day6_06.tif
CTN05_Day6-008_AB02_07.zvi.tif	CTN005_Day6_07.tif
CTN05_Day6-008_AB02_09.zvi.tif	CTN005_Day6_08.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_01.zvi.tif	CTN036_Day6_01.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_02.zvi.tif	CTN036_Day6_02.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_03.zvi.tif	CTN036_Day6_03.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_04.zvi.tif	CTN036_Day6_04.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_05.zvi.tif	CTN036_Day6_05.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_06.zvi.tif	CTN036_Day6_06.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_07.zvi.tif	CTN036_Day6_07.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_08.zvi.tif	CTN036_Day6_08.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_09.zvi.tif	CTN036_Day6_09.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_10.zvi.tif	CTN036_Day6_10.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_11.zvi.tif	CTN036_Day6_11.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_12.zvi.tif	CTN036_Day6_12.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_14.zvi.tif	CTN036_Day6_14.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_17.zvi.tif	CTN036_Day6_17.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_18.zvi.tif	CTN036_Day6_18.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_19.zvi.tif	CTN036_Day6_19.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_20.zvi.tif	CTN036_Day6_20.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_21.zvi.tif	CTN036_Day6_21.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_22.zvi.tif	CTN036_Day6_22.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_23.zvi.tif	CTN036_Day6_23.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_24.zvi.tif	CTN036_Day6_24.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_25.zvi.tif	CTN036_Day6_25.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_26.zvi.tif	CTN036_Day6_26.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_27.zvi.tif	CTN036_Day6_27.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_33.zvi.tif	CTN036_Day6_33.tif
CTN036 d6 Tumor K14, SMA, Phal wellb3-02_AB03_34.zvi.tif	CTN036_Day6_34.tif
