   lines   words   chars filename
     185     370    1480 CTN009_Tumor_Day6_21_xy.txt
    1588    3176   12996 CTN010_Tumor_Day6_01_xy.txt
     559    1118    4472 CTN010_Tumor_Day6_02_xy.txt
    2158    4316   17693 CTN010_Tumor_Day6_03_xy.txt
     656    1312    5248 CTN010_Tumor_Day6_04_xy.txt
     555    1110    4440 CTN010_Tumor_Day6_05_xy.txt
     518    1036    4144 CTN010_Tumor_Day6_06_xy.txt
     342     684    2736 CTN010_Tumor_Day6_07_xy.txt
    1483    2966   11947 CTN010_Tumor_Day6_08_xy.txt
     404     808    3232 CTN010_Tumor_Day6_09_xy.txt
     175     350    1400 CTN010_Tumor_Day6_10_xy.txt
    1704    3408   13732 CTN010_Tumor_Day6_11_xy.txt
     369     738    2952 CTN010_Tumor_Day6_12_xy.txt
     418     836    3344 CTN010_Tumor_Day6_13_xy.txt
     424     848    3392 CTN010_Tumor_Day6_14_xy.txt
     187     374    1496 CTN010_Tumor_Day6_15_xy.txt
    1808    3616   14699 CTN010_Tumor_Day6_16_xy.txt
     770    1540    6160 CTN010_Tumor_Day6_17_xy.txt
    2734    5468   22356 CTN010_Tumor_Day6_18_xy.txt
    2251    4502   18706 CTN010_Tumor_Day6_19_xy.txt
     495     990    3960 CTN010_Tumor_Day6_20_xy.txt
     248     496    1984 CTN010_Tumor_Day6_21_xy.txt
     670    1340    5360 CTN010_Tumor_Day6_22_xy.txt
     599    1198    4792 CTN010_Tumor_Day6_23_xy.txt
    1090    2180    8720 CTN010_Tumor_Day6_24_xy.txt
     175     350    1400 CTN010_Tumor_Day6_25_xy.txt
    2295    4590   18821 CTN010_Tumor_Day6_26_xy.txt
     816    1632    6528 CTN010_Tumor_Day6_27_xy.txt
     307     614    2456 CTN010_Tumor_Day6_31_xy.txt
     456     912    3648 CTN010_Tumor_Day6_32_xy.txt
     253     506    2024 CTN010_Tumor_Day6_33_xy.txt
    1285    2570   10354 CTN010_Tumor_Day6_34_xy.txt
    1710    3420   13995 CTN010_Tumor_Day6_35_xy.txt
    1340    2680   10858 CTN010_Tumor_Day6_36_xy.txt
     410     820    3280 CTN010_Tumor_Day6_37_xy.txt
     558    1116    4464 CTN010_Tumor_Day6_38_xy.txt
     214     428    1712 CTN010_Tumor_Day6_39_xy.txt
     306     612    2448 CTN010_Tumor_Day6_40_xy.txt
     240     480    1920 CTN010_Tumor_Day6_41_xy.txt
     487     974    3896 CTN010_Tumor_Day6_42_xy.txt
     348     696    2784 CTN010_Tumor_Day6_43_xy.txt
     291     582    2328 CTN010_Tumor_Day6_44_xy.txt
     562    1124    4496 CTN010_Tumor_Day6_45_xy.txt
    2483    4966   20452 CTN010_Tumor_Day6_46_xy.txt
     375     750    3000 CTN011_Tumor_Day6_01_xy.txt
    2600    5200   21275 CTN011_Tumor_Day6_02_xy.txt
     211     422    1688 CTN011_Tumor_Day6_03_xy.txt
     203     406    1624 CTN011_Tumor_Day6_04_xy.txt
     641    1282    5128 CTN011_Tumor_Day6_05_xy.txt
     237     474    1896 CTN011_Tumor_Day6_06_xy.txt
     153     306    1224 CTN011_Tumor_Day6_07_xy.txt
     176     352    1408 CTN011_Tumor_Day6_08_xy.txt
     458     916    3664 CTN011_Tumor_Day6_09_xy.txt
     630    1260    5006 CTN011_Tumor_Day6_10_xy.txt
     516    1032    4128 CTN011_Tumor_Day6_11_xy.txt
     635    1270    5118 CTN011_Tumor_Day6_12_xy.txt
     521    1042    4168 CTN011_Tumor_Day6_13_xy.txt
     213     426    1704 CTN011_Tumor_Day6_14_xy.txt
     258     516    2064 CTN011_Tumor_Day6_15_xy.txt
     516    1032    4189 CTN011_Tumor_Day6_16_xy.txt
     413     826    3304 CTN011_Tumor_Day6_17_xy.txt
     677    1354    5452 CTN011_Tumor_Day6_18_xy.txt
     196     392    1568 CTN011_Tumor_Day6_19_xy.txt
     162     324    1296 CTN011_Tumor_Day6_20_xy.txt
     136     272    1088 CTN011_Tumor_Day6_21_xy.txt
     501    1002    4008 CTN011_Tumor_Day6_22_xy.txt
     784    1568    6319 CTN011_Tumor_Day6_23_xy.txt
     301     602    2408 CTN011_Tumor_Day6_24_xy.txt
     330     660    2640 CTN011_Tumor_Day6_25_xy.txt
     220     440    1760 CTN011_Tumor_Day6_26_xy.txt
     219     438    1752 CTN011_Tumor_Day6_27_xy.txt
     433     866    3464 CTN011_Tumor_Day6_28_xy.txt
     381     762    3048 CTN011_Tumor_Day6_29_xy.txt
     572    1144    4576 CTN011_Tumor_Day6_30_xy.txt
     981    1962    7896 CTN011_Tumor_Day6_51_xy.txt
     185     370    1480 CTN011_Tumor_Day6_52_xy.txt
     225     450    1800 CTN011_Tumor_Day6_53_xy.txt
     717    1434    5736 CTN011_Tumor_Day6_54_xy.txt
     786    1572    6481 CTN011_Tumor_Day6_55_xy.txt
    1752    3504   14918 CTN011_Tumor_Day6_56_xy.txt
     688    1376    5504 CTN011_Tumor_Day6_57_xy.txt
     399     798    3192 CTN011_Tumor_Day6_58_xy.txt
    1414    2828   11312 CTN011_Tumor_Day6_59_xy.txt
     301     602    2408 CTN011_Tumor_Day6_60_xy.txt
     611    1222    4888 CTN011_Tumor_Day6_61_xy.txt
     282     564    2256 CTN011_Tumor_Day6_62_xy.txt
     655    1310    5240 CTN011_Tumor_Day6_63_xy.txt
     439     878    3512 CTN011_Tumor_Day6_64_xy.txt
    1188    2376    9504 CTN011_Tumor_Day6_65_xy.txt
     472     944    3776 CTN011_Tumor_Day6_66_xy.txt
     379     758    3032 CTN011_Tumor_Day6_67_xy.txt
     953    1906    8029 CTN011_Tumor_Day6_68_xy.txt
    1073    2146    8650 CTN014_Tumor_Day6_01_xy.txt
     363     726    2904 CTN014_Tumor_Day6_02_xy.txt
     330     660    2640 CTN014_Tumor_Day6_03_xy.txt
    1402    2804   11314 CTN014_Tumor_Day6_04_xy.txt
     571    1142    4568 CTN014_Tumor_Day6_05_xy.txt
     503    1006    4024 CTN014_Tumor_Day6_06_xy.txt
     273     546    2184 CTN014_Tumor_Day6_07_xy.txt
     735    1470    5921 CTN015_Tumor_Day6_01_xy.txt
     572    1144    4576 CTN015_Tumor_Day6_02_xy.txt
     612    1224    4896 CTN015_Tumor_Day6_03_xy.txt
     126     252    1008 CTN015_Tumor_Day6_04_xy.txt
     122     244     976 CTN015_Tumor_Day6_05_xy.txt
     137     274    1096 CTN015_Tumor_Day6_06_xy.txt
     129     258    1032 CTN015_Tumor_Day6_07_xy.txt
     121     242     968 CTN015_Tumor_Day6_08_xy.txt
     109     218     872 CTN015_Tumor_Day6_16_xy.txt
     138     276    1104 CTN015_Tumor_Day6_17_xy.txt
     202     404    1616 CTN015_Tumor_Day6_18_xy.txt
     169     338    1352 CTN015_Tumor_Day6_19_xy.txt
     349     698    2792 CTN015_Tumor_Day6_20_xy.txt
     266     532    2128 CTN015_Tumor_Day6_21_xy.txt
     318     636    2544 CTN015_Tumor_Day6_22_xy.txt
     233     466    1864 CTN015_Tumor_Day6_23_xy.txt
     145     290    1160 CTN015_Tumor_Day6_24_xy.txt
     181     362    1448 CTN015_Tumor_Day6_25_xy.txt
     124     248     992 CTN015_Tumor_Day6_26_xy.txt
     150     300    1200 CTN015_Tumor_Day6_27_xy.txt
     117     234     936 CTN015_Tumor_Day6_28_xy.txt
     109     218     872 CTN015_Tumor_Day6_29_xy.txt
     621    1242    4968 CTN015_Tumor_Day6_30_xy.txt
     193     386    1544 CTN015_Tumor_Day6_31_xy.txt
    1390    2780   11670 CTN018_Tumor_Day6_01_xy.txt
    1466    2932   11251 CTN018_Tumor_Day6_02_xy.txt
     447     894    3576 CTN018_Tumor_Day6_03_xy.txt
    1097    2194    8792 CTN018_Tumor_Day6_07_xy.txt
     307     614    2456 CTN018_Tumor_Day6_08_xy.txt
     292     584    5256 CTN019_Tumor_Day6_01_xy.txt
     256     512    4608 CTN019_Tumor_Day6_02_xy.txt
     478     956    8604 CTN019_Tumor_Day6_03_xy.txt
     355     710    6390 CTN019_Tumor_Day6_05_xy.txt
     323     646    5814 CTN019_Tumor_Day6_07_xy.txt
     331     662    5958 CTN019_Tumor_Day6_08_xy.txt
     384     768    6912 CTN019_Tumor_Day6_09_xy.txt
     275     550    4950 CTN019_Tumor_Day6_12_xy.txt
     325     650    5850 CTN019_Tumor_Day6_14_xy.txt
     416     832    7488 CTN019_Tumor_Day6_20_xy.txt
     362     724    6516 CTN019_Tumor_Day6_22_xy.txt
     525    1050    9450 CTN019_Tumor_Day6_23_xy.txt
     251     502    4518 CTN019_Tumor_Day6_27_xy.txt
     271     542    4878 CTN019_Tumor_Day6_30_xy.txt
     306     612    5508 CTN019_Tumor_Day6_33_xy.txt
     557    1114   10026 CTN019_Tumor_Day6_34_xy.txt
     233     466    4194 CTN019_Tumor_Day6_35_xy.txt
     437     874    7866 CTN019_Tumor_Day6_36_xy.txt
     399     798    7182 CTN019_Tumor_Day6_37_xy.txt
     224     448    4032 CTN019_Tumor_Day6_38_xy.txt
     231     462    4158 CTN019_Tumor_Day6_40_xy.txt
     471     942    8478 CTN019_Tumor_Day6_42_xy.txt
     343     686    6174 CTN019_Tumor_Day6_43_xy.txt
     210     420    3780 CTN021_Tumor_Day6_03_xy.txt
     158     316    2844 CTN021_Tumor_Day6_04_xy.txt
     216     432    3888 CTN021_Tumor_Day6_07_xy.txt
     107     214    1926 CTN021_Tumor_Day6_08_xy.txt
      94     188    1692 CTN021_Tumor_Day6_09_xy.txt
     117     234    2106 CTN021_Tumor_Day6_10_xy.txt
     142     284    2556 CTN021_Tumor_Day6_11_xy.txt
     321     642    5778 CTN021_Tumor_Day6_14_xy.txt
     333     666    5994 CTN021_Tumor_Day6_19_xy.txt
     271     542    4878 CTN021_Tumor_Day6_20_xy.txt
     119     238    2142 CTN021_Tumor_Day6_21_xy.txt
     237     474    4266 CTN021_Tumor_Day6_22_xy.txt
     181     362    3258 CTN021_Tumor_Day6_23_xy.txt
     215     430    3870 CTN021_Tumor_Day6_24_xy.txt
     130     260    2340 CTN021_Tumor_Day6_25_xy.txt
     344     688    6192 CTN021_Tumor_Day6_26_xy.txt
     101     202    1818 CTN021_Tumor_Day6_28_xy.txt
     142     284    2556 CTN021_Tumor_Day6_29_xy.txt
     199     398    3582 CTN021_Tumor_Day6_30_xy.txt
     275     550    4950 CTN021_Tumor_Day6_31_xy.txt
     215     430    3870 CTN021_Tumor_Day6_33_xy.txt
     243     486    4374 CTN021_Tumor_Day6_34_xy.txt
     103     206    1854 CTN021_Tumor_Day6_35_xy.txt
     261     522    4698 CTN021_Tumor_Day6_37_xy.txt
     256     512    4608 CTN021_Tumor_Day6_38_xy.txt
     180     360    3240 CTN021_Tumor_Day6_44_xy.txt
     177     354    3186 CTN021_Tumor_Day6_45_xy.txt
     123     246    2214 CTN021_Tumor_Day6_46_xy.txt
     170     340    3060 CTN021_Tumor_Day6_48_xy.txt
     135     270    2430 CTN021_Tumor_Day6_50_xy.txt
    1252    2504   22536 CTN024_Tumor_Day6_01_xy.txt
    1988    3976   35435 CTN024_Tumor_Day6_02_xy.txt
     380     760    6840 CTN024_Tumor_Day6_03_xy.txt
     458     916    8244 CTN024_Tumor_Day6_04_xy.txt
     259     518    4662 CTN024_Tumor_Day6_05_xy.txt
     442     884    7956 CTN024_Tumor_Day6_06_xy.txt
     539    1078    9702 CTN024_Tumor_Day6_08_xy.txt
     489     978    8802 CTN024_Tumor_Day6_09_xy.txt
    1899    3798   33485 CTN024_Tumor_Day6_10_xy.txt
    1245    2490   21908 CTN024_Tumor_Day6_11_xy.txt
    1287    2574   22511 CTN024_Tumor_Day6_12_xy.txt
     366     732    6588 CTN024_Tumor_Day6_13_xy.txt
     471     942    8478 CTN024_Tumor_Day6_14_xy.txt
     274     548    4932 CTN024_Tumor_Day6_15_xy.txt
     535    1070    9630 CTN024_Tumor_Day6_16_xy.txt
     555    1110    9990 CTN024_Tumor_Day6_17_xy.txt
     314     628    5652 CTN036_Tumor_Day6_01_xy.txt
     797    1594   14346 CTN036_Tumor_Day6_02_xy.txt
     446     892    8028 CTN036_Tumor_Day6_03_xy.txt
     297     594    5346 CTN036_Tumor_Day6_04_xy.txt
     601    1202   10818 CTN036_Tumor_Day6_05_xy.txt
     898    1796   16116 CTN036_Tumor_Day6_06_xy.txt
     768    1536   13792 CTN036_Tumor_Day6_07_xy.txt
    1786    3572   31845 CTN036_Tumor_Day6_08_xy.txt
     664    1328   11952 CTN036_Tumor_Day6_09_xy.txt
     511    1022    9198 CTN036_Tumor_Day6_10_xy.txt
    1242    2484   22192 CTN036_Tumor_Day6_11_xy.txt
     562    1124   10116 CTN036_Tumor_Day6_12_xy.txt
     765    1530   13540 CTN036_Tumor_Day6_14_xy.txt
     472     944    8496 CTN036_Tumor_Day6_17_xy.txt
     750    1500   13423 CTN036_Tumor_Day6_18_xy.txt
     955    1910   16979 CTN036_Tumor_Day6_19_xy.txt
     520    1040    9321 CTN036_Tumor_Day6_20_xy.txt
     254     508    4572 CTN036_Tumor_Day6_22_xy.txt
     536    1072    9648 CTN036_Tumor_Day6_23_xy.txt
     426     852    7668 CTN036_Tumor_Day6_24_xy.txt
     832    1664   14840 CTN036_Tumor_Day6_25_xy.txt
    1969    3938   34068 CTN036_Tumor_Day6_27_xy.txt
    1046    2092   18543 CTN036_Tumor_Day6_33_xy.txt
     536    1072    9648 CTN036_Tumor_Day6_34_xy.txt
     451     902    8118 CTN036_Tumor_Day6_35_xy.txt
     509    1018    9162 CTN036_Tumor_Day6_37_xy.txt
    2437    4874   42913 CTN036_Tumor_Day6_41_xy.txt
     423     846    7614 CTN036_Tumor_Day6_47_xy.txt
     412     824    7416 CTN036_Tumor_Day6_48_xy.txt
     184     368    2576 CTN037_Tumor_Day6_01_xy.txt
     259     518    3626 CTN037_Tumor_Day6_02_xy.txt
     433     866    6062 CTN037_Tumor_Day6_03_xy.txt
     320     640    4480 CTN037_Tumor_Day6_04_xy.txt
     231     462    3234 CTN037_Tumor_Day6_05_xy.txt
     587    1174    8218 CTN037_Tumor_Day6_06_xy.txt
     388     776    5432 CTN038_Tumor_Day6_01_xy.txt
    1574    3148   22036 CTN038_Tumor_Day6_02_xy.txt
     232     464    3248 CTN038_Tumor_Day6_04_xy.txt
     379     758    5306 CTN039_Tumor_Day6_12_xy.txt
     194     388    2716 CTN041_Tumor_Day6_05_xy.txt
     313     626    4382 CTN041_Tumor_Day6_08_xy.txt
     176     352    2464 CTN041_Tumor_Day6_19_xy.txt
     274     548    3836 CTN041_Tumor_Day6_22_xy.txt
     247     494    3458 CTN041_Tumor_Day6_30_xy.txt
     371     742    5194 CTN041_Tumor_Day6_31_xy.txt
     115     230    1610 CTN041_Tumor_Day6_32_xy.txt
     233     466    3262 CTN041_Tumor_Day6_33_xy.txt
     112     224    2016 CTN042_Tumor_Day6_01_xy.txt
     254     508    4572 CTN042_Tumor_Day6_02_xy.txt
     177     354    3186 CTN042_Tumor_Day6_03_xy.txt
     114     228    2052 CTN042_Tumor_Day6_04_xy.txt
     250     500    4500 CTN042_Tumor_Day6_05_xy.txt
     223     446    4014 CTN042_Tumor_Day6_06_xy.txt
     204     408    3672 CTN042_Tumor_Day6_07_xy.txt
     423     846    7614 CTN042_Tumor_Day6_08_xy.txt
     918    1836   16581 CTN042_Tumor_Day6_09_xy.txt
     215     430    3870 CTN042_Tumor_Day6_10_xy.txt
     689    1378   12583 CTN042_Tumor_Day6_11_xy.txt
     165     330    2970 CTN042_Tumor_Day6_12_xy.txt
     138     276    2484 CTN042_Tumor_Day6_13_xy.txt
     233     466    4194 CTN042_Tumor_Day6_14_xy.txt
     100     200    1800 CTN042_Tumor_Day6_15_xy.txt
     256     512    4608 CTN042_Tumor_Day6_16_xy.txt
     158     316    2844 CTN042_Tumor_Day6_17_xy.txt
     126     252    2268 CTN042_Tumor_Day6_18_xy.txt
     262     524    4716 CTN042_Tumor_Day6_19_xy.txt
     175     350    3150 CTN042_Tumor_Day6_20_xy.txt
     147     294    2646 CTN042_Tumor_Day6_21_xy.txt
     114     228    2052 CTN042_Tumor_Day6_22_xy.txt
     262     524    4716 CTN042_Tumor_Day6_23_xy.txt
     197     394    3546 CTN042_Tumor_Day6_24_xy.txt
     242     484    4356 CTN042_Tumor_Day6_25_xy.txt
     248     496    4464 CTN042_Tumor_Day6_26_xy.txt
     228     456    4104 CTN042_Tumor_Day6_27_xy.txt
     177     354    3186 CTN042_Tumor_Day6_28_xy.txt
     339     678    6102 CTN042_Tumor_Day6_29_xy.txt
     275     550    4950 CTN042_Tumor_Day6_30_xy.txt
     214     428    3852 CTN042_Tumor_Day6_31_xy.txt
     203     406    3654 CTN042_Tumor_Day6_32_xy.txt
     199     398    3582 CTN042_Tumor_Day6_33_xy.txt
     230     460    4140 CTN042_Tumor_Day6_34_xy.txt
     255     510    4590 CTN042_Tumor_Day6_35_xy.txt
     309     618    5562 CTN042_Tumor_Day6_36_xy.txt
     418     836    7580 CTN042_Tumor_Day6_37_xy.txt
     352     704    6336 CTN042_Tumor_Day6_38_xy.txt
     242     484    4356 CTN042_Tumor_Day6_39_xy.txt
     287     574    5166 CTN042_Tumor_Day6_40_xy.txt
     276     552    4968 CTN042_Tumor_Day6_41_xy.txt
     247     494    4446 CTN044_Tumor_Day6_01_xy.txt
     154     308    2772 CTN044_Tumor_Day6_02_xy.txt
     138     276    2484 CTN044_Tumor_Day6_03_xy.txt
     246     492    4428 CTN044_Tumor_Day6_04_xy.txt
     153     306    2754 CTN044_Tumor_Day6_05_xy.txt
     153     306    2754 CTN044_Tumor_Day6_06_xy.txt
     261     522    4698 CTN044_Tumor_Day6_07_xy.txt
     167     334    3006 CTN044_Tumor_Day6_08_xy.txt
     202     404    3636 CTN044_Tumor_Day6_09_xy.txt
     104     208    1872 CTN044_Tumor_Day6_10_xy.txt
     524    1048    9494 CTN044_Tumor_Day6_11_xy.txt
     234     468    4212 CTN044_Tumor_Day6_12_xy.txt
      99     198    1782 CTN044_Tumor_Day6_13_xy.txt
     118     236    2124 CTN045_Tumor_Day6_01_xy.txt
     477     954    8586 CTN045_Tumor_Day6_02_xy.txt
     448     896    8064 CTN045_Tumor_Day6_03_xy.txt
     496     992    8928 CTN046_Tumor_Day6_01_xy.txt
     835    1670   15229 CTN046_Tumor_Day6_02_xy.txt
     280     560    5040 CTN046_Tumor_Day6_03_xy.txt
     236     472    4248 CTN046_Tumor_Day6_04_xy.txt
     225     450    4050 CTN046_Tumor_Day6_05_xy.txt
     362     724    6516 CTN046_Tumor_Day6_06_xy.txt
     225     450    4050 CTN046_Tumor_Day6_07_xy.txt
     210     420    3780 CTN046_Tumor_Day6_08_xy.txt
     449     898    8082 CTN046_Tumor_Day6_09_xy.txt
     220     440    3960 CTN046_Tumor_Day6_10_xy.txt
     627    1254   11286 CTN046_Tumor_Day6_11_xy.txt
     386     772    6948 CTN046_Tumor_Day6_12_xy.txt
     252     504    4536 CTN046_Tumor_Day6_13_xy.txt
     250     500    4500 CTN046_Tumor_Day6_14_xy.txt
     216     432    3888 CTN046_Tumor_Day6_15_xy.txt
     239     478    4302 CTN046_Tumor_Day6_16_xy.txt
     226     452    4068 CTN046_Tumor_Day6_17_xy.txt
     181     362    3258 CTN046_Tumor_Day6_18_xy.txt
     200     400    3600 CTN046_Tumor_Day6_19_xy.txt
     252     504    4536 CTN046_Tumor_Day6_20_xy.txt
     913    1826   12782 CTN047_Tumor_Day6_01_xy.txt
     304     608    4256 CTN047_Tumor_Day6_02_xy.txt
     509    1018    7126 CTN047_Tumor_Day6_03_xy.txt
     913    1826   12782 CTN047_Tumor_Day6_04_xy.txt
     397     794    5558 CTN047_Tumor_Day6_05_xy.txt
     382     764    5348 CTN047_Tumor_Day6_06_xy.txt
     422     844    5908 CTN047_Tumor_Day6_08_xy.txt
     913    1826   12782 CTN047_Tumor_Day6_09_xy.txt
     493     986    6902 CTN048_Tumor_Day6_01_xy.txt
     803    1606   11242 CTN048_Tumor_Day6_02_xy.txt
     418     836    5852 CTN048_Tumor_Day6_03_xy.txt
     125     250    1750 CTN048_Tumor_Day6_04_xy.txt
     207     414    2898 CTN048_Tumor_Day6_05_xy.txt
     213     426    2982 CTN048_Tumor_Day6_06_xy.txt
     174     348    2436 CTN048_Tumor_Day6_07_xy.txt
     122     244    1708 CTN048_Tumor_Day6_08_xy.txt
     550    1100    7700 CTN048_Tumor_Day6_09_xy.txt
      95     190    1330 CTN048_Tumor_Day6_10_xy.txt
     218     436    3052 CTN048_Tumor_Day6_11_xy.txt
     336     672    4704 CTN049_Tumor_Day6_01_xy.txt
     408     816    5712 CTN049_Tumor_Day6_02_xy.txt
     201     402    2814 CTN049_Tumor_Day6_03_xy.txt
     193     386    2702 CTN049_Tumor_Day6_04_xy.txt
     330     660    4620 CTN049_Tumor_Day6_05_xy.txt
     359     718    5026 CTN049_Tumor_Day6_06_xy.txt
     342     684    4788 CTN049_Tumor_Day6_07_xy.txt
     267     534    3738 CTN049_Tumor_Day6_08_xy.txt
     165     330    2310 CTN049_Tumor_Day6_09_xy.txt
     212     424    2968 CTN049_Tumor_Day6_10_xy.txt
     154     308    2156 CTN049_Tumor_Day6_11_xy.txt
     204     408    2856 CTN049_Tumor_Day6_12_xy.txt
     543    1086    7602 CTN049_Tumor_Day6_13_xy.txt
     352     704    4928 CTN049_Tumor_Day6_14_xy.txt
     299     598    4186 CTN049_Tumor_Day6_15_xy.txt
     532    1064    7448 CTN049_Tumor_Day6_16_xy.txt
     832    1664   11648 CTN049_Tumor_Day6_17_xy.txt
     312     624    4368 CTN049_Tumor_Day6_18_xy.txt
     327     654    4578 CTN049_Tumor_Day6_19_xy.txt
     260     520    3640 CTN049_Tumor_Day6_20_xy.txt
     250     500    3500 CTN049_Tumor_Day6_21_xy.txt
     409     818    5726 CTN049_Tumor_Day6_22_xy.txt
    1685    3370   23590 CTN049_Tumor_Day6_23_xy.txt
    1808    3616   25312 CTN049_Tumor_Day6_24_xy.txt
     932    1864   13048 CTN049_Tumor_Day6_25_xy.txt
    1459    2918   20426 CTN049_Tumor_Day6_26_xy.txt
     424     848    5936 CTN049_Tumor_Day6_27_xy.txt
     424     848    5936 CTN049_Tumor_Day6_28_xy.txt
     153     306    2142 CTN050_Tumor_Day6_01_xy.txt
     516    1032    7224 CTN050_Tumor_Day6_04_xy.txt
     272     544    3808 CTN050_Tumor_Day6_05_xy.txt
     213     426    2982 CTN050_Tumor_Day6_07_xy.txt
     656    1312    9184 CTN050_Tumor_Day6_08_xy.txt
     218     436    3052 CTN050_Tumor_Day6_09_xy.txt
    1091    2182   15274 CTN052_Tumor_Day6_01_xy.txt
     311     622    4354 CTN052_Tumor_Day6_02_xy.txt
     615    1230    8610 CTN052_Tumor_Day6_03_xy.txt
     158     316    2212 CTN052_Tumor_Day6_04_xy.txt
     336     672    4704 CTN052_Tumor_Day6_05_xy.txt
     130     260    1820 CTN052_Tumor_Day6_06_xy.txt
     215     430    3010 CTN052_Tumor_Day6_07_xy.txt
